SIMPLE                                            ,Beeatriz-Castro,CarlaCristinaSA,ClidenorFilho,Douglas-glith,EduardoAlmeida10,Emilly-Pinheiro,GuibasURL,HenriqueSenaDev,JGCL24,Joao-Vitor-Rd,KeltonMartins,Layssaoliveira26,Lipez-x,Paulo-Sergio-Oliveira,Randson-Silva,TobiasTac,Victorbvc,abebuh21,alvesmaarcos,anaradlei,annabeatryz31,cauanrricardo,davyanastaciodev,dsfacundo,eduardaffreitas,fco-henrique,gabrielrbsousa,harielfr,higormcarnauba,jppiauilino,kawantorres,kaylannesatiro,lizandrapinheiro,mczm9,pamellaneco,rudriguu2099
*:1:rec_read                                      ,            100,            ---,          ---,          ---,             100,            100,      100,            ---,   ---,          ---,          100,             100,    100,                  100,          ---,      100,      096,     ---,         096,      ---,          ---,          100,             ---,      100,            ---,         ---,           ---,     ---,           100,        ---,        ---,           ---,             100,  096,        ---,         100
+:2:triangulo                                     ,            096,            ---,          082,          082,             082,            045,      096,            096,   082,          096,          096,             100,    096,                  096,          096,      100,      045,     096,         082,      096,          082,          082,             ---,      082,            ---,         096,           ---,     082,           096,        082,        000,           082,             096,  082,        082,         096
+:4:treinando                                     ,            082,            ---,          082,          082,             096,            000,      096,            096,   096,          096,          082,             096,    096,                  100,          082,      096,      082,     000,         032,      096,          053,          082,             ---,      082,            ---,         096,           000,     082,           100,        045,        082,           000,             096,  082,        082,         082
+:1:resto                                         ,            096,            ---,          100,          100,             096,            100,      096,            096,   096,          100,          100,             100,    100,                  100,          100,      096,      100,     075,         100,      100,          082,          082,             ---,      082,            ---,         100,           ---,     082,           100,        100,        000,           100,             096,  ---,        082,         100
+:1:mdc                                           ,            096,            ---,          100,          100,             096,            100,      096,            100,   096,          096,          100,             100,    100,                  100,          100,      096,      100,     082,         100,      ---,          100,          082,             ---,      096,            ---,         100,           ---,     100,           082,        100,        ---,           100,             100,  082,        082,         096
*:2:eh_primo                                      ,            096,            ---,          096,          ---,             096,            ---,      096,            ---,   096,          100,          082,             ---,    ---,                  100,          100,      082,      000,     096,         100,      ---,          ---,          096,             ---,      082,            ---,         ---,           ---,     ---,           082,        100,        ---,           082,             096,  082,        082,         100
*:2:enesimo                                       ,            096,            ---,          000,          ---,             096,            ---,      096,            ---,   096,          100,          096,             ---,    ---,                  100,          100,      082,      000,     ---,         100,      ---,          ---,          045,             ---,      045,            ---,         ---,           ---,     ---,           082,        ---,        ---,           ---,             000,  082,        082,         082
*:3:priminhos                                     ,            082,            ---,          096,          ---,             096,            ---,      096,            ---,   096,          100,          100,             ---,    ---,                  100,          100,      100,      ---,     ---,         100,      ---,          ---,          045,             ---,      082,            ---,         ---,           ---,     ---,           082,        ---,        ---,           ---,             ---,  ---,        082,         100
+:10:fractais                                     ,            000,            ---,          000,          045,             000,            ---,      000,            096,   ---,          001,          014,             ---,    096,                  036,          ---,      ---,      045,     000,         082,      ---,          000,          014,             ---,      009,            ---,         ---,           000,     000,           045,        000,        000,           000,             000,  ---,        070,         000
*:10:fractais_png                                 ,            ---,            ---,          ---,          ---,             000,            096,      ---,            ---,   000,          000,          ---,             ---,    ---,                  ---,          ---,      000,      ---,     000,         000,      ---,          000,          ---,             ---,      000,            ---,         ---,           ---,     000,           000,        ---,        ---,           001,             000,  ---,        ---,         ---
*:10:hex                                          ,            ---,            ---,          000,          000,             000,            ---,      000,            ---,   000,          000,          000,             ---,    ---,                  ---,          ---,      ---,      ---,     ---,         000,      ---,          000,          ---,             ---,      ---,            ---,         ---,           000,     ---,           000,        000,        ---,           000,             000,  ---,        ---,         ---
*:1:vetequals                                     ,            096,            ---,          000,          100,             096,            000,      045,            100,   096,          100,          100,             004,    100,                  100,          000,      100,      100,     000,         000,      ---,          000,          096,             ---,      096,            ---,         ---,           ---,     000,           000,        000,        082,           ---,             100,  ---,        001,         100
=:1:busca-em-profundidade---dfs-depth-first-search,            026,            000,          075,          051,             046,            093,      018,            053,   000,          096,          097,             099,    095,                  100,          098,      082,      093,     000,         088,      018,          045,          036,             000,      079,            000,         018,           000,     000,           079,        061,        015,           020,             063,  035,        015,         041
+:0:dfs_bfs_bak                                   ,            100,            ---,          000,          ---,             ---,            100,      100,            ---,   ---,          000,          100,             100,    100,                  100,          100,      100,      100,     ---,         100,      ---,          ---,          100,             ---,      100,            ---,         ---,           ---,     ---,           000,        ---,        ---,           ---,             000,  100,        ---,         ---
+:2:queimada                                      ,            096,            ---,          082,          096,             082,            100,      096,            100,   000,          096,          100,             100,    096,                  100,          096,      100,      100,     000,         082,      096,          082,          082,             ---,      096,            ---,         100,           000,     ---,           096,        096,        082,           096,             100,  045,        082,         096
+:1:ilhas                                         ,            096,            ---,          082,          000,             082,            082,      ---,            ---,   ---,          100,          100,             100,    096,                  100,          100,      100,      096,     ---,         082,      ---,          ---,          045,             ---,      082,            ---,         ---,           ---,     ---,           096,        096,        ---,           ---,             100,  045,        ---,         ---
+:2:queimando                                     ,            ---,            ---,          082,          100,             045,            082,      ---,            096,   ---,          100,          100,             100,    096,                  100,          100,      096,      096,     ---,         096,      000,          082,          045,             ---,      082,            ---,         ---,           ---,     ---,           096,        096,        ---,           ---,             100,  045,        002,         082
+:1:cercado                                       ,            ---,            ---,          082,          ---,             000,            100,      ---,            ---,   ---,          096,          100,             100,    096,                  100,          100,      100,      096,     ---,         082,      ---,          ---,          100,             ---,      ---,            ---,         ---,           ---,     ---,           096,        ---,        ---,           ---,             ---,  000,        ---,         ---
+:2:labirinto                                     ,            000,            ---,          082,          082,             082,            096,      ---,            096,   ---,          082,          100,             096,    096,                  100,          096,      012,      082,     ---,         082,      000,          082,          000,             ---,      082,            ---,         ---,           ---,     ---,           096,        096,        ---,           012,             096,  082,        000,         045
+:1:pintura                                       ,            ---,            ---,          082,          ---,             ---,            100,      ---,            ---,   ---,          100,          100,             100,    096,                  100,          100,      100,      100,     ---,         096,      ---,          ---,          ---,             ---,      096,            ---,         ---,           ---,     ---,           096,        ---,        ---,           ---,             ---,  ---,        ---,         ---
+:1:longest                                       ,            ---,            ---,          082,          ---,             ---,            082,      ---,            ---,   ---,          100,          070,             100,    082,                  100,          100,      082,      082,     ---,         082,      ---,          ---,          ---,             ---,      082,            ---,         ---,           ---,     ---,           000,        ---,        ---,           ---,             ---,  ---,        ---,         ---
+:1:battleship                                    ,            ---,            ---,          000,          ---,             ---,            100,      ---,            ---,   ---,          100,          100,             100,    100,                  100,          100,      100,      096,     ---,         100,      ---,          ---,          ---,             ---,      082,            ---,         ---,           ---,     ---,           000,        ---,        ---,           ---,             ---,  ---,        ---,         ---
=:1:busca-em-largura---bfs-breadth-first-search===,            000,            000,          000,          000,             000,            000,      000,            000,   000,          000,          000,             000,    000,                  000,          000,      000,      000,     000,         000,      000,          000,          000,             000,      000,            000,         000,           000,     000,           000,        000,        000,           000,             000,  000,        000,         000
*:3:caminho                                       ,            ---,            ---,          ---,          000,             082,            ---,      ---,            ---,   ---,          100,          082,             ---,    000,                  100,          ---,      ---,      000,     ---,         082,      ---,          000,          ---,             ---,      082,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  045,        ---,         000
*:1:rotten                                        ,            ---,            ---,          ---,          ---,             ---,            ---,      ---,            ---,   ---,          100,          ---,             100,    ---,                  000,          ---,      ---,      ---,     ---,         ---,      ---,          ---,          ---,             ---,      ---,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  ---,        ---,         ---
*:1:detonate                                      ,            ---,            ---,          ---,          ---,             ---,            ---,      ---,            ---,   ---,          ---,          ---,             ---,    ---,                  000,          ---,      ---,      ---,     ---,         ---,      ---,          ---,          ---,             ---,      ---,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  ---,        ---,         ---
*:1:escapeSpread                                  ,            ---,            ---,          ---,          ---,             ---,            ---,      ---,            ---,   ---,          ---,          ---,             ---,    ---,                  000,          ---,      ---,      ---,     ---,         ---,      ---,          ---,          ---,             ---,      ---,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  ---,        ---,         ---
=:1:algoritmo-de-retrocesso---backtracking========,            000,            000,          082,          109,             247,            000,      000,            000,   000,          274,          087,             179,    000,                  199,          223,      000,      082,     000,         152,      000,          049,          000,             000,      176,            000,         000,           000,     000,           000,        333,        000,           000,             000,  134,        000,         082
+:2:wordsearch                                    ,            ---,            ---,          ---,          ---,             012,            ---,      ---,            ---,   ---,          000,          012,             050,    ---,                  100,          ---,      000,      000,     ---,         050,      ---,          000,          ---,             ---,      ---,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             000,  000,        ---,         000
+:3:pilhado                                       ,            ---,            ---,          ---,          045,             082,            ---,      ---,            000,   ---,          096,          000,             100,    000,                  100,          096,      ---,      ---,     ---,         082,      ---,          082,          ---,             ---,      082,            ---,         ---,           ---,     ---,           000,        096,        ---,           ---,             ---,  000,        ---,         ---
*:5:distancia                                     ,            ---,            ---,          082,          ---,             000,            ---,      000,            ---,   ---,          045,          ---,             000,    ---,                  100,          ---,      ---,      000,     ---,         000,      ---,          ---,          ---,             ---,      045,            ---,         ---,           ---,     ---,           000,        096,        ---,           ---,             ---,  045,        ---,         000
*:10:sudoku                                       ,            ---,            ---,          ---,          ---,             ---,            ---,      ---,            ---,   ---,          045,          ---,             ---,    ---,                  000,          082,      ---,      ---,     ---,         ---,      ---,          ---,          ---,             ---,      000,            ---,         ---,           ---,     ---,           000,        ---,        ---,           ---,             ---,  045,        ---,         ---
*:5:subset_sum                                    ,            ---,            ---,          ---,          082,             096,            000,      ---,            000,   ---,          082,          082,             100,    ---,                  ---,          ---,      000,      082,     ---,         082,      ---,          000,          ---,             ---,      082,            ---,         ---,           ---,     ---,           ---,        082,        ---,           ---,             ---,  ---,        ---,         082
*:5:n_rainhas                                     ,            ---,            ---,          ---,          ---,             ---,            ---,      ---,            ---,   ---,          ---,          ---,             ---,    ---,                  ---,          ---,      ---,      ---,     ---,         ---,      ---,          ---,          ---,             ---,      ---,            ---,         ---,           ---,     ---,           ---,        096,        ---,           ---,             ---,  ---,        ---,         ---
*:5:permutacoes                                   ,            ---,            ---,          ---,          ---,             096,            ---,      ---,            ---,   ---,          ---,          000,             ---,    ---,                  ---,          ---,      ---,      ---,     ---,         ---,      ---,          ---,          ---,             ---,      ---,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  ---,        ---,         ---
=:1:vetor=========================================,            057,            000,          072,          087,             093,            059,      036,            096,   043,          098,          089,             060,    097,                  100,          089,      048,      058,     000,         054,      057,          037,          073,             000,      073,            000,         000,           000,     003,           096,        078,        037,           021,             100,  072,        021,         098
+:10:vetbuild                                     ,            096,            ---,          082,          096,             082,            096,      096,            096,   000,          096,          096,             096,    096,                  100,          096,      096,      045,     000,         096,      082,          012,          082,             ---,      082,            ---,         ---,           ---,     000,           096,        082,        082,           082,             100,  096,        082,         096
+:10:setbuild                                     ,            000,            ---,          082,          082,             096,            096,      000,            096,   082,          096,          082,             096,    096,                  100,          082,      045,      082,     ---,         045,      096,          096,          082,             ---,      082,            ---,         ---,           ---,     012,           096,        045,        045,           000,             100,  082,        ---,         096
+:0:bettersearch                                  ,            096,            ---,          082,          096,             096,            096,      096,            100,   096,          100,          100,             096,    096,                  100,          100,      100,      000,     ---,         100,      096,          082,          082,             ---,      096,            ---,         ---,           ---,     096,           096,        000,        096,           ---,             100,  082,        000,         100
+:5:magicsearch                                   ,            096,            ---,          082,          096,             096,            082,      096,            096,   096,          100,          082,             096,    100,                  100,          096,      100,      045,     ---,         045,      096,          082,          082,             ---,      082,            ---,         ---,           ---,     000,           096,        082,        045,           000,             100,  045,        ---,         100
+:10:multiset                                     ,            082,            ---,          082,          100,             096,            000,      000,            096,   000,          100,          096,             000,    096,                  100,          082,      ---,      082,     ---,         012,      000,          000,          045,             ---,      045,            ---,         ---,           ---,     ---,           096,        096,        ---,           ---,             100,  045,        ---,         100
+:5:iterador                                      ,            000,            ---,          000,          045,             096,            000,      ---,            096,   082,          100,          082,             000,    096,                  100,          096,      ---,      000,     ---,         082,      000,          ---,          082,             ---,      082,            ---,         ---,           ---,     ---,           096,        096,        ---,           ---,             100,  082,        000,         100
=:1:lista=========================================,            016,            000,          061,          067,             079,            055,      052,            041,   015,          087,          102,             070,    111,                  134,          117,      002,      060,     000,         061,      078,          036,          082,             000,      095,            000,         000,           000,     000,           102,        084,        000,           000,             118,  057,        000,         075
+:3:lista_d1                                      ,            096,            ---,          082,          082,             082,            082,      082,            096,   096,          082,          082,             100,    082,                  096,          096,      012,      045,     ---,         082,      096,          082,          045,             ---,      082,            ---,         ---,           ---,     ---,           096,        082,        000,           ---,             100,  082,        ---,         082
+:3:lista_d2                                      ,            002,            ---,          082,          082,             082,            000,      082,            100,   ---,          082,          096,             100,    100,                  100,          096,      ---,      082,     ---,         082,      082,          082,          082,             ---,      082,            ---,         ---,           ---,     ---,           096,        096,        ---,           ---,             096,  082,        ---,         082
*:3:lista_d3                                      ,            ---,            ---,          082,          ---,             ---,            ---,      096,            000,   ---,          100,          082,             ---,    100,                  100,          ---,      ---,      082,     ---,         ---,      ---,          ---,          045,             ---,      082,            ---,         ---,           ---,     ---,           096,        096,        ---,           ---,             ---,  082,        ---,         082
+:2:lista_d4                                      ,            ---,            ---,          082,          ---,             082,            ---,      100,            100,   ---,          100,          096,             ---,    100,                  100,          096,      ---,      082,     ---,         000,      082,          096,          045,             ---,      082,            ---,         ---,           ---,     ---,           000,        ---,        ---,           ---,             096,  082,        ---,         096
+:3:prin_list1                                    ,            000,            ---,          082,          ---,             096,            ---,      ---,            000,   ---,          100,          100,             000,    100,                  100,          096,      ---,      096,     ---,         000,      ---,          ---,          045,             ---,      082,            ---,         ---,           ---,     ---,           096,        000,        ---,           ---,             100,  ---,        ---,         096
*:2:prin_list2                                    ,            ---,            ---,          ---,          ---,             ---,            ---,      ---,            000,   ---,          ---,          ---,             ---,    ---,                  ---,          ---,      ---,      000,     ---,         ---,      ---,          ---,          082,             ---,      ---,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  ---,        ---,         100
*:4:editor                                        ,            000,            ---,          ---,          ---,             ---,            ---,      ---,            000,   000,          000,          000,             000,    000,                  096,          100,      ---,      012,     ---,         000,      000,          ---,          000,             ---,      ---,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             096,  045,        ---,         ---
*:4:controlz                                      ,            000,            ---,          ---,          ---,             ---,            ---,      ---,            000,   ---,          ---,          ---,             ---,    ---,                  ---,          ---,      ---,      ---,     ---,         ---,      ---,          ---,          ---,             ---,      ---,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  000,        ---,         ---
+:8:editorint                                     ,            002,            ---,          000,          096,             070,            100,      000,            000,   000,          045,          082,             092,    096,                  096,          096,      000,      000,     ---,         082,      096,          000,          082,             ---,      082,            ---,         ---,           ---,     000,           096,        096,        000,           ---,             096,  000,        000,         000
=:1:deque-pilha-e-fila============================,            000,            000,          000,          078,             084,            037,      000,            043,   000,          092,          063,             055,    091,                  100,          100,      005,      078,     000,         055,      029,          087,          000,             000,      082,            000,         000,           000,     000,           037,        096,        000,           000,             000,  038,        001,         097
+:4:bufferring                                    ,            ---,            ---,          000,          100,             082,            082,      000,            096,   ---,          082,          100,             ---,    082,                  100,          100,      012,      082,     ---,         082,      066,          082,          ---,             ---,      082,            ---,         ---,           ---,     ---,           082,        096,        ---,           ---,             000,  045,        002,         096
+:2:fila_enc                                      ,            ---,            ---,          000,          100,             096,            ---,      ---,            ---,   ---,          100,          082,             100,    096,                  100,          100,      ---,      082,     ---,         082,      000,          096,          ---,             ---,      082,            ---,         ---,           ---,     ---,           ---,        096,        ---,           ---,             ---,  082,        ---,         096
+:2:pilha                                         ,            ---,            ---,          000,          045,             096,            ---,      ---,            ---,   ---,          100,          000,             100,    100,                  100,          100,      ---,      082,     ---,         000,      000,          082,          ---,             ---,      082,            ---,         ---,           ---,     ---,           000,        096,        ---,           ---,             ---,  ---,        ---,         100
+:1:chaves                                        ,            ---,            ---,          000,          012,             045,            ---,      ---,            ---,   ---,          100,          ---,             100,    100,                  100,          100,      ---,      045,     ---,         ---,      ---,          096,          ---,             ---,      082,            ---,         ---,           ---,     ---,           ---,        096,        ---,           ---,             ---,  ---,        ---,         100
=:1:ordenação=====================================,            000,            000,          000,          000,             000,            000,      031,            000,   000,          006,          000,             031,    000,                  000,          031,      000,      000,     000,         031,      000,          000,          069,             000,      031,            000,         000,           000,     000,           000,        008,        000,           000,             000,  007,        000,         020
+:1:ord_video                                     ,            ---,            ---,          ---,          ---,             ---,            ---,      100,            ---,   ---,          ---,          ---,             100,    ---,                  ---,          100,      ---,      ---,     ---,         100,      ---,          ---,          100,             ---,      100,            ---,         ---,           ---,     ---,           ---,        000,        ---,           ---,             ---,  096,        ---,         ---
+:1:ord_leitura                                   ,            ---,            ---,          ---,          ---,             ---,            ---,      100,            ---,   ---,          ---,          ---,             100,    ---,                  ---,          100,      ---,      ---,     ---,         100,      ---,          ---,          100,             ---,      100,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  ---,        ---,         ---
+:1:ord_simples                                   ,            ---,            ---,          ---,          ---,             ---,            ---,      100,            ---,   ---,          ---,          ---,             100,    ---,                  ---,          100,      ---,      ---,     ---,         100,      ---,          ---,          100,             ---,      100,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  ---,        ---,         ---
+:1:ord_recurs                                    ,            ---,            ---,          ---,          ---,             ---,            ---,      100,            ---,   ---,          ---,          ---,             100,    ---,                  ---,          100,      ---,      ---,     ---,         100,      ---,          ---,          100,             ---,      100,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  ---,        ---,         ---
+:1:vacina                                        ,            ---,            ---,          ---,          ---,             ---,            ---,      ---,            ---,   ---,          082,          ---,             ---,    ---,                  ---,          ---,      ---,      ---,     ---,         ---,      ---,          ---,          082,             ---,      ---,            ---,         ---,           ---,     ---,           ---,        100,        ---,           ---,             ---,  ---,        ---,         100
+:2:indices                                       ,            ---,            ---,          ---,          ---,             ---,            ---,      ---,            ---,   ---,          ---,          ---,             ---,    ---,                  ---,          ---,      ---,      ---,     ---,         ---,      ---,          ---,          082,             ---,      ---,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  000,        ---,         082
+:3:tapioca                                       ,            ---,            ---,          ---,          ---,             ---,            ---,      ---,            ---,   ---,          ---,          ---,             ---,    ---,                  ---,          ---,      ---,      ---,     ---,         000,      ---,          ---,          082,             ---,      ---,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  ---,        ---,         000
+:3:mergevet                                      ,            ---,            ---,          ---,          ---,             ---,            ---,      ---,            ---,   ---,          ---,          ---,             ---,    ---,                  ---,          ---,      ---,      ---,     ---,         ---,      ---,          ---,          001,             ---,      ---,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  ---,        ---,         000
=:1:árvore========================================,            000,            000,          000,          005,             005,            000,      000,            000,   004,          050,          004,             000,    004,                  041,          067,      000,      004,     000,         000,      000,          000,          004,             000,      000,            000,         000,           000,     000,           000,        000,        000,           000,             000,  004,        000,         040
+:1:serial                                        ,            ---,            ---,          ---,          100,             100,            000,      ---,            000,   096,          096,          096,             000,    082,                  100,          100,      000,      096,     ---,         000,      ---,          000,          082,             ---,      000,            ---,         ---,           ---,     ---,           000,        ---,        ---,           ---,             ---,  082,        ---,         096
+:1:formatada                                     ,            ---,            ---,          ---,          000,             000,            ---,      ---,            ---,   000,          096,          ---,             ---,    000,                  100,          100,      ---,      ---,     ---,         ---,      ---,          000,          ---,             ---,      ---,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  ---,        ---,         096
+:1:soma                                          ,            ---,            ---,          ---,          ---,             ---,            ---,      ---,            ---,   ---,          100,          000,             ---,    000,                  100,          082,      ---,      ---,     ---,         000,      ---,          ---,          ---,             ---,      000,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  ---,        ---,         100
+:2:altura                                        ,            ---,            ---,          ---,          000,             ---,            ---,      ---,            ---,   000,          100,          ---,             ---,    ---,                  100,          096,      ---,      ---,     ---,         ---,      ---,          ---,          ---,             ---,      ---,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  ---,        ---,         096
+:4:arvore-path                                   ,            ---,            ---,          ---,          ---,             ---,            ---,      ---,            ---,   ---,          100,          ---,             ---,    ---,                  100,          100,      ---,      ---,     ---,         ---,      ---,          ---,          ---,             ---,      ---,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  ---,        ---,         096
+:2:dividido                                      ,            ---,            ---,          ---,          ---,             ---,            ---,      ---,            ---,   ---,          100,          ---,             ---,    ---,                  ---,          096,      ---,      ---,     ---,         ---,      ---,          ---,          ---,             ---,      ---,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  ---,        ---,         ---
+:3:arvore                                        ,            ---,            ---,          ---,          ---,             ---,            ---,      ---,            ---,   ---,          ---,          ---,             ---,    ---,                  ---,          000,      000,      000,     ---,         ---,      ---,          ---,          ---,             ---,      ---,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  ---,        ---,         ---
+:4:incompleta                                    ,            ---,            ---,          ---,          ---,             ---,            ---,      ---,            ---,   ---,          ---,          ---,             ---,    ---,                  ---,          100,      ---,      ---,     ---,         ---,      ---,          ---,          ---,             ---,      ---,            ---,         ---,           ---,     ---,           000,        000,        ---,           ---,             ---,  ---,        ---,         ---
+:4:abb                                           ,            ---,            ---,          ---,          ---,             ---,            000,      ---,            ---,   ---,          ---,          ---,             ---,    ---,                  ---,          000,      ---,      ---,     ---,         000,      ---,          ---,          ---,             ---,      ---,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  ---,        ---,         000
=:1:recursão-padrões-e-conceitos==================,            000,            000,          000,          000,             002,            000,      000,            000,   000,          038,          000,             000,    027,                  000,          000,      000,      000,     000,         000,      000,          000,          000,             000,      000,            000,         027,           000,     000,           000,        000,        000,           000,             000,  037,        000,         087
